id,file,subject,topic,category,risk,action,quality,problem,question_preview
reading-v1-025,src/data/questionPacks/readingPack.ts,Reading Comprehension,Fact and Opinion,Reading Comprehension,MEDIUM,REMOVE,100,Exact duplicate of reading-v1-005,Which statement is an opinion?
reading-v1-026,src/data/questionPacks/readingPack.ts,Reading Comprehension,Sequence,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: Before planting the seedlings, Marco loosened the soil and added compost. After planting, he watered the garden. What did Marco do immediately before planting the seedlings?"
reading-v1-027,src/data/questionPacks/readingPack.ts,Reading Comprehension,Tone,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: After months of failed attempts, the team finally watched their invention work. They cheered, laughed, and hugged one another. What is the tone of the passage?"
reading-v1-030,src/data/questionPacks/readingPack.ts,Reading Comprehension,Conclusion,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: Nico reviewed his mistakes after every practice test. Over time, his scores improved steadily. What is the best conclusion?"
reading-v1-031,src/data/questionPacks/readingPack.ts,Reading Comprehension,Main Idea,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: Public transportation reduces traffic congestion, lowers fuel consumption, and helps decrease air pollution in crowded cities. What is the main idea of the passage?"
reading-v1-033,src/data/questionPacks/readingPack.ts,Reading Comprehension,Author's Purpose,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: Daily exercise strengthens the heart, improves mood, and helps maintain a healthy weight. Experts encourage people to stay physically active. What is the author's purpose?"
reading-v1-035,src/data/questionPacks/readingPack.ts,Reading Comprehension,Fact and Opinion,Reading Comprehension,MEDIUM,REMOVE,100,Exact duplicate of reading-v1-015,Which statement is a fact?
reading-v1-036,src/data/questionPacks/readingPack.ts,Reading Comprehension,Sequence,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: First, Lea washed the vegetables. Next, she chopped them into small pieces. Finally, she cooked them in a large pot. What happened immediately after Lea washed the vegetables?"
reading-v1-037,src/data/questionPacks/readingPack.ts,Reading Comprehension,Tone,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,Passage: The audience applauded loudly as the graduating students proudly marched across the stage. What is the tone of the passage?
reading-v1-038,src/data/questionPacks/readingPack.ts,Reading Comprehension,Cause and Effect,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,Passage: The heavy snowfall forced schools to suspend classes and caused major traffic delays. What caused the traffic delays?
reading-v1-040,src/data/questionPacks/readingPack.ts,Reading Comprehension,Conclusion,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: Ella practiced speaking in front of a mirror every night before the debate competition. During the contest, she spoke clearly and confidently. What is the best conclusion?"
reading-v1-041,src/data/questionPacks/readingPack.ts,Reading Comprehension,Main Idea,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: Regular reading exposes people to new vocabulary, strengthens comprehension skills, and improves concentration over time. What is the main idea of the passage?"
reading-v1-043,src/data/questionPacks/readingPack.ts,Reading Comprehension,Author's Purpose,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,Passage: Turning off unused lights can reduce electricity consumption and lower monthly bills. Families are encouraged to practice energy conservation daily. What is the author's purpose?
reading-v1-044,src/data/questionPacks/readingPack.ts,Reading Comprehension,Vocabulary in Context,Vocabulary,LOW,REMOVE,100,Broken/OCR marker: continuing,Passage: The athlete was determined to finish the marathon despite the intense heat and exhaustion. What does 'determined' most nearly mean?
reading-v1-045,src/data/questionPacks/readingPack.ts,Reading Comprehension,Fact and Opinion,Reading Comprehension,MEDIUM,REMOVE,100,Exact duplicate of reading-v1-005,Which statement is an opinion?
reading-v1-047,src/data/questionPacks/readingPack.ts,Reading Comprehension,Tone,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,Passage: The child stared nervously at the dark hallway and slowly stepped backward. What is the tone of the passage?
reading-v1-048,src/data/questionPacks/readingPack.ts,Reading Comprehension,Cause and Effect,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: Because the team practiced every afternoon, they developed stronger coordination during games. What caused the stronger coordination?"
reading-v1-050,src/data/questionPacks/readingPack.ts,Reading Comprehension,Conclusion,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: Sophia practiced solving math problems every day after school. By the end of the semester, her test scores had increased significantly. What is the best conclusion?"
reading-v1-051,src/data/questionPacks/readingPack.ts,Reading Comprehension,Main Idea,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: Many communities are planting trees along roads and public spaces. Trees provide shade, reduce heat, absorb carbon dioxide, and make neighborhoods more pleasant. What is the main idea of the passage?"
reading-v1-053,src/data/questionPacks/readingPack.ts,Reading Comprehension,Author's Purpose,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: This article explains the steps for creating a simple household budget, including listing income, tracking expenses, and setting savings goals. What is the author's purpose?"
reading-v1-055,src/data/questionPacks/readingPack.ts,Reading Comprehension,Fact and Opinion,Reading Comprehension,MEDIUM,REMOVE,100,Exact duplicate of reading-v1-015,Which statement is a fact?
reading-v1-056,src/data/questionPacks/readingPack.ts,Reading Comprehension,Sequence,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: First, the mechanic inspected the engine. Then he replaced the damaged belt. Finally, he tested the car on the road. What happened after the engine was inspected?"
reading-v1-057,src/data/questionPacks/readingPack.ts,Reading Comprehension,Tone,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,Passage: The principal proudly announced that the school had won the national science competition. Students cheered as the trophy was displayed. What is the tone of the passage?
reading-v1-060,src/data/questionPacks/readingPack.ts,Reading Comprehension,Conclusion,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: Luis created a study schedule and followed it for several weeks. When exam day arrived, he answered calmly and finished on time. What is the best conclusion?"
reading-v1-061,src/data/questionPacks/readingPack.ts,Reading Comprehension,Main Idea,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: Online learning allows students to access lessons from different locations, review recorded materials, and study at their own pace. However, it also requires discipline and reliable internet access. What is the "
reading-v1-065,src/data/questionPacks/readingPack.ts,Reading Comprehension,Fact and Opinion,Reading Comprehension,MEDIUM,REMOVE,100,Exact duplicate of reading-v1-005,Which statement is an opinion?
reading-v1-066,src/data/questionPacks/readingPack.ts,Reading Comprehension,Sequence,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: Before submitting her essay, Dana checked the spelling, revised weak sentences, and added a clearer conclusion. What did Dana do before submitting her essay?"
reading-v1-067,src/data/questionPacks/readingPack.ts,Reading Comprehension,Tone,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: The scientist carefully presented the data, avoiding exaggeration and explaining each limitation of the study. What is the tone of the passage?"
reading-v1-068,src/data/questionPacks/readingPack.ts,Reading Comprehension,Cause and Effect,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: The city added more bicycle lanes, so more residents began cycling to work safely. What was the effect of adding more bicycle lanes?"
reading-v1-070,src/data/questionPacks/readingPack.ts,Reading Comprehension,Conclusion,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: The barangay cleaned the drainage canals before the rainy season. When heavy rain came, the streets did not flood as badly as before. What is the best conclusion?"
reading-v1-071,src/data/questionPacks/readingPack.ts,Reading Comprehension,Main Idea,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: Community cleanups help remove trash from public areas, encourage teamwork among residents, and make neighborhoods safer and more attractive. What is the main idea of the passage?"
reading-v1-073,src/data/questionPacks/readingPack.ts,Reading Comprehension,Author's Purpose,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: This manual explains how to assemble the bookshelf by identifying each part, matching the screws, and following the numbered steps. What is the author's purpose?"
reading-v1-075,src/data/questionPacks/readingPack.ts,Reading Comprehension,Fact and Opinion,Reading Comprehension,MEDIUM,REMOVE,100,Exact duplicate of reading-v1-015,Which statement is a fact?
reading-v1-076,src/data/questionPacks/readingPack.ts,Reading Comprehension,Sequence,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: After choosing a topic, the students gathered sources, created an outline, and then wrote their research papers. What happened immediately after the students chose a topic?"
reading-v1-077,src/data/questionPacks/readingPack.ts,Reading Comprehension,Tone,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,Passage: The editorial warned that ignoring the water shortage would lead to serious problems for farmers and families. What is the tone of the passage?
reading-v1-080,src/data/questionPacks/readingPack.ts,Reading Comprehension,Conclusion,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: After joining the debate club, Rhea learned to organize her ideas and speak with more confidence. She later volunteered to lead a class discussion. What is the best conclusion?"
reading-v1-081,src/data/questionPacks/readingPack.ts,Reading Comprehension,Main Idea,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: Saving money regularly can help people prepare for emergencies, avoid unnecessary debt, and reach long-term goals. Even small amounts can grow over time when saved consistently. What is the main idea of the pass"
reading-v1-082,src/data/questionPacks/readingPack.ts,Reading Comprehension,Inference,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,Passage: The audience grew silent as the final contestant stepped onto the stage. Several judges leaned forward and picked up their pens. What can be inferred from the passage?
reading-v1-085,src/data/questionPacks/readingPack.ts,Reading Comprehension,Fact and Opinion,Reading Comprehension,MEDIUM,REMOVE,100,Exact duplicate of reading-v1-005,Which statement is an opinion?
reading-v1-086,src/data/questionPacks/readingPack.ts,Reading Comprehension,Sequence,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: First, the volunteers sorted the donations. Next, they packed the goods into boxes. Finally, they delivered the boxes to the evacuation center. What happened immediately before the boxes were delivered?"
reading-v1-087,src/data/questionPacks/readingPack.ts,Reading Comprehension,Tone,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,Passage: The article calmly compares the advantages and disadvantages of electric vehicles without using emotional language. What is the tone of the passage?
reading-v1-090,src/data/questionPacks/readingPack.ts,Reading Comprehension,Conclusion,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: The team reviewed feedback after every presentation. Over time, their slides became clearer and their delivery became more confident. What is the best conclusion?"
reading-v1-091,src/data/questionPacks/readingPack.ts,Reading Comprehension,Main Idea,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: Volunteering in community programs allows people to develop teamwork skills, meet new people, and contribute to meaningful projects that improve society. What is the main idea of the passage?"
reading-v1-095,src/data/questionPacks/readingPack.ts,Reading Comprehension,Fact and Opinion,Reading Comprehension,MEDIUM,REMOVE,100,Exact duplicate of reading-v1-005,Which statement is an opinion?
reading-v1-096,src/data/questionPacks/readingPack.ts,Reading Comprehension,Sequence,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: First, the crew unloaded the supplies from the truck. Next, they organized the boxes by category. Finally, they distributed the supplies to the families. What happened before the supplies were distributed?"
reading-v1-097,src/data/questionPacks/readingPack.ts,Reading Comprehension,Tone,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,Passage: The speaker thanked the volunteers warmly and praised their dedication during the difficult recovery efforts. What is the tone of the passage?
reading-v1-100,src/data/questionPacks/readingPack.ts,Reading Comprehension,Conclusion,Reading Comprehension,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,"Passage: After months of practicing coding problems every evening, Ian completed the programming contest with confidence and earned one of the highest scores. What is the best conclusion?"
filipino-v1-060,src/data/questionPacks/filipinoPack.ts,Filipino Language,Pangungusap,Language,MEDIUM,REMOVE,100,Exact duplicate of filipino-v1-020,Alin sa sumusunod ang may wastong ayos ng pangungusap?
filipino-v1-070,src/data/questionPacks/filipinoPack.ts,Filipino Language,Pangungusap,Language,MEDIUM,REMOVE,100,Exact duplicate of filipino-v1-020,Alin sa sumusunod ang may wastong ayos ng pangungusap?
filipino-v1-090,src/data/questionPacks/filipinoPack.ts,Filipino Language,Pangungusap,Language,MEDIUM,REMOVE,100,Exact duplicate of filipino-v1-050,Alin sa sumusunod ang pangungusap na patanong?
filipino-v1-100,src/data/questionPacks/filipinoPack.ts,Filipino Language,Pangungusap,Language,MEDIUM,REMOVE,100,Exact duplicate of filipino-v1-030,Alin sa sumusunod ang pangungusap na pasalaysay?
science-v1-040,src/data/questionPacks/sciencePack.ts,Science,Biology: Evolution,Science,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: selection,Who proposed the theory of natural selection?
science-v1-066,src/data/questionPacks/sciencePack.ts,Science,Chemistry: Compounds,Science,LOW,REWRITE,70,Duplicate or near-identical answer choices,What is the chemical formula for carbon dioxide?
science-v1-091,src/data/questionPacks/sciencePack.ts,Science,Biology: Evolution,Science,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: selection,Which process allows organisms with helpful traits to survive and reproduce more successfully over generations?
science-v1-101,src/data/questionPacks/sciencePack.ts,Science,Chemistry,Science,HIGH,REWRITE,100,Question opening text appears copied from source TXT: source_reviewers/Simulated UPCAT Booklet/Math and Science Post Exam.txt,Chlorine melts at -101°C and boils at -34.5°C. In what state does it exist at 0°C?
science-v1-102,src/data/questionPacks/sciencePack.ts,Science,Geology,Science,MEDIUM,REMOVE,100,Exact duplicate of science-v1-053,Which type of rock forms from cooled magma or lava?
science-v1-103,src/data/questionPacks/sciencePack.ts,Science,Chemistry,Science,LOW,REWRITE,70,Duplicate or near-identical answer choices,What is the equivalent of 1.00 kg/cm³ in grams per cubic meter?
science-v1-122,src/data/questionPacks/sciencePack.ts,Science,Astronomy,Science,HIGH,REWRITE,100,Question opening text appears copied from source TXT: source_reviewers/Simulated UPCAT Booklet/Math and Science Post Exam.txt,What is remarkable about the rotation of Uranus?
science-v1-123,src/data/questionPacks/sciencePack.ts,Science,Geology,Science,HIGH,REWRITE,100,Question opening text appears copied from source TXT: source_reviewers/Simulated UPCAT Booklet/Math and Science Post Exam.txt,Which of the following is a sedimentary rock?
science-v1-124,src/data/questionPacks/sciencePack.ts,Science,Earth Science,Science,HIGH,REWRITE,100,Question opening text appears copied from source TXT: source_reviewers/Simulated UPCAT Booklet/Math and Science Post Exam.txt,Which layer of the atmosphere is the coldest?
english-v1-001,src/data/questionPacks/englishPack.ts,English Language,Grammar: Subject-Verb Agreement,Language,LOW,REWRITE,100,Possible OCR/encoding/spacing corruption,Neither the students nor the teacher _____ prepared for the sudden quiz.
english-v1-003,src/data/questionPacks/englishPack.ts,English Language,Grammar: Pronouns,Language,LOW,REWRITE,100,Possible OCR/encoding/spacing corruption,Each of the players must bring _____ own uniform.
english-v1-007,src/data/questionPacks/englishPack.ts,English Language,Grammar: Tenses,Language,LOW,REWRITE,100,Possible OCR/encoding/spacing corruption,"By the time we arrived, the movie _____ already started."
english-v1-022,src/data/questionPacks/englishPack.ts,English Language,Grammar: Subject-Verb Agreement,Language,LOW,REWRITE,100,Possible OCR/encoding/spacing corruption,The bouquet of flowers _____ on the table.
english-v1-023,src/data/questionPacks/englishPack.ts,English Language,Grammar: Pronouns,Language,LOW,REWRITE,100,Possible OCR/encoding/spacing corruption,Maria and Ana brought _____ notebooks to class.
english-v1-025,src/data/questionPacks/englishPack.ts,English Language,Sentence Correction,Language,MEDIUM,REMOVE,100,Exact duplicate of english-v1-004,Choose the grammatically correct sentence.
english-v1-031,src/data/questionPacks/englishPack.ts,English Language,Grammar: Comparatives,Language,MEDIUM,REMOVE,100,Exact duplicate of english-v1-027,Choose the correct sentence.
english-v1-032,src/data/questionPacks/englishPack.ts,English Language,Vocabulary,Vocabulary,LOW,REMOVE,100,Broken/OCR marker: image,Choose the synonym of 'vivid.'
english-v1-033,src/data/questionPacks/englishPack.ts,English Language,Grammar: Run-on Sentences,Language,LOW,REWRITE,70,Duplicate or near-identical answer choices,Choose the correctly punctuated sentence.
english-v1-035,src/data/questionPacks/englishPack.ts,English Language,Reading Skills,Language,MEDIUM,NEEDS MANUAL REVIEW,100,Legal/source-risk phrase: the passage,What is the author's purpose if the passage mainly explains how volcanoes erupt?
english-v1-036,src/data/questionPacks/englishPack.ts,English Language,Grammar: Apostrophes,Language,LOW,REWRITE,70,Duplicate or near-identical answer choices,Choose the sentence with correct apostrophe usage.
english-v1-041,src/data/questionPacks/englishPack.ts,English Language,Grammar: Agreement,Language,LOW,REWRITE,100,Possible OCR/encoding/spacing corruption,Either the captain or the sailors _____ responsible for the damaged equipment.
english-v1-046,src/data/questionPacks/englishPack.ts,English Language,Grammar: Capitalization,Language,LOW,REWRITE,70,Duplicate or near-identical answer choices,Choose the sentence with correct capitalization.
